capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_12_normalized,smart_12_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,date_diff_days
12000138625024,0,82.0,172113704.0,99.0,0.0,100.0,1.0,100.0,0.0,89.0,826887110.0,94.0,6034.0,100.0,0.0,100.0,1.0,100.0,47.0,100.0,317.0,30.0,30.0,100.0,0.0,100.0,0.0,200.0,0.0,72
4000787030016,0,117.0,154791000.0,96.0,0.0,100.0,4.0,100.0,0.0,88.0,768408980.0,73.0,23867.0,100.0,0.0,100.0,4.0,100.0,0.0,99.0,2342.0,22.0,22.0,100.0,0.0,100.0,0.0,200.0,0.0,40
4000787030016,0,112.0,48458832.0,96.0,0.0,100.0,4.0,100.0,0.0,86.0,463170513.0,64.0,31807.0,100.0,0.0,100.0,4.0,100.0,0.0,81.0,38071.0,21.0,21.0,100.0,0.0,100.0,0.0,200.0,0.0,57
8001563222016,0,100.0,0.0,100.0,0.0,100.0,4.0,100.0,0.0,100.0,0.0,99.0,9847.0,100.0,0.0,100.0,4.0,100.0,450.0,100.0,450.0,187.0,32.0,100.0,0.0,100.0,0.0,200.0,0.0,52
8001563222016,0,83.0,211968136.0,92.0,0.0,100.0,4.0,100.0,0.0,87.0,472230540.0,79.0,19068.0,100.0,0.0,100.0,4.0,100.0,2.0,97.0,6371.0,29.0,29.0,100.0,0.0,100.0,0.0,200.0,22.0,25
4000787030016,0,100.0,0.0,100.0,554.0,100.0,8.0,100.0,110.0,100.0,0.0,95.0,39966.0,100.0,0.0,100.0,8.0,100.0,569.0,100.0,569.0,253.0,23.0,100.0,8.0,100.0,0.0,200.0,0.0,23
8001563222016,0,75.0,29766344.0,98.0,0.0,100.0,2.0,100.0,0.0,95.0,3479349529.0,87.0,11769.0,100.0,0.0,100.0,2.0,100.0,32.0,97.0,6480.0,39.0,39.0,100.0,0.0,100.0,0.0,200.0,0.0,85
500107862016,0,68.0,5855304.0,100.0,0.0,100.0,4.0,100.0,0.0,87.0,487328555.0,98.0,2169.0,100.0,0.0,100.0,4.0,100.0,0.0,100.0,86.0,37.0,37.0,100.0,0.0,100.0,0.0,200.0,0.0,66
12000138625024,0,80.0,105051152.0,97.0,0.0,100.0,2.0,100.0,0.0,89.0,826501850.0,94.0,6037.0,100.0,0.0,100.0,2.0,100.0,39.0,100.0,338.0,26.0,26.0,100.0,128.0,100.0,128.0,200.0,0.0,47
10000831348736,0,71.0,11807960.0,99.0,0.0,100.0,2.0,100.0,198.0,89.0,835616430.0,88.0,11284.0,100.0,0.0,100.0,1.0,100.0,116.0,100.0,631.0,25.0,25.0,100.0,0.0,100.0,0.0,200.0,0.0,15
12000138625024,0,100.0,1159944.0,97.0,0.0,100.0,3.0,100.0,0.0,84.0,254379485.0,89.0,10486.0,100.0,0.0,100.0,2.0,100.0,130.0,100.0,1508.0,21.0,21.0,100.0,0.0,100.0,0.0,200.0,0.0,64
